iso2,works_total,works_ai,works_quantum,ai_share,quantum_share
US,5576234,26410,49985,0.00474,0.00896
CA,751143,4826,7522,0.00642,0.01001
GB,1459805,8796,14253,0.00603,0.00976
DE,1242403,5923,22021,0.00477,0.01772
FR,1060100,3503,12703,0.0033,0.01198
NL,418805,1996,4166,0.00477,0.00995
CH,348434,1521,5570,0.00437,0.01599
SE,265320,1377,3464,0.00519,0.01306
DK,209876,897,2315,0.00427,0.01103
FI,144301,999,1734,0.00692,0.01202
NO,177338,1011,1038,0.0057,0.00585
IE,121684,841,979,0.00691,0.00805
AT,190384,980,3387,0.00515,0.01779
BE,246906,958,2232,0.00388,0.00904
ES,738572,3764,8086,0.0051,0.01095
IT,801389,5229,11032,0.00652,0.01377
PT,231353,1382,1528,0.00597,0.0066
PL,358258,1625,5259,0.00454,0.01468
CZ,165811,591,2680,0.00356,0.01616
EE,25288,158,232,0.00625,0.00917
MT,8125,81,37,0.00997,0.00455
GE,15699,70,155,0.00446,0.00987
TR,552770,3772,3575,0.00682,0.00647
RU,740769,2325,11144,0.00314,0.01504
CN,4379842,25103,64909,0.00573,0.01482
JP,791451,3027,13727,0.00382,0.01734
KR,502189,4534,7776,0.00903,0.01548
SG,142238,1367,2908,0.00961,0.02044
AU,643342,4113,5353,0.00639,0.00832
NZ,99521,461,467,0.00463,0.00469
MY,260952,2829,1358,0.01084,0.0052
ID,1594231,3504,1680,0.0022,0.00105
TH,129649,848,980,0.00654,0.00756
VN,106970,1072,926,0.01002,0.00866
IN,1595024,22870,22857,0.01434,0.01433
PK,255094,2592,2470,0.01016,0.00968
BD,113069,1451,905,0.01283,0.008
BR,943478,2432,5157,0.00258,0.00547
MX,253894,1023,2219,0.00403,0.00874
AR,125509,243,999,0.00194,0.00796
CL,123227,389,1056,0.00316,0.00857
CO,137648,634,733,0.00461,0.00533
SA,286930,4150,4327,0.01446,0.01508
AE,85698,1744,1039,0.02035,0.01212
IL,147907,641,2906,0.00433,0.01965
IR,377415,2716,4882,0.0072,0.01294
EG,256782,1860,2582,0.00724,0.01006
ZA,187752,1145,1453,0.0061,0.00774
NG,175933,1234,946,0.00701,0.00538
KE,49063,188,129,0.00383,0.00263
